|ESTRUCTURA BDD EMPRESAS Y GRUPOS EMPRESARIALES |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Datos generales de la empresa|,,,,,,|Datos genericos de contacto1|,,,,,,,,,,|Datos genericos de contacto2|,,,,,,,,,,|Datos genericos de contacto3|,,,,,,,,,
|NOMBRE FISCAL|,|NOMBRE COMERCIAL|,|NIF/CIF|,|WEB|,|ES UN GRUPO?|,|GRUPO A QUE PERTENECE|,|DESCRIPCIÓN|,|DIRECCIÓN|,|CP|,|PROVINCIA|,|CIUDAD|,|TEL. FIJO|,|TELF. MOBIL|,|FAX|,|EMAIL|,|EMAIL ALTERNATIO|,|DESCRIPCIÓN|,|DIRECCIÓN|,|CP|,|PROVINCIA|,|CIUDAD|,|TEL. FIJO|,|TELF. MOBIL|,|FAX|,|EMAIL|,|EMAIL ALTERNATIO|,|DESCRIPCIÓN|,|DIRECCIÓN|,|CP|,|PROVINCIA|,|CIUDAD|,|TEL. FIJO|,|TELF. MOBIL|,|FAX|,|EMAIL|,|EMAIL ALTERNATIO|
|2012 Intracatalonia S.A.|,,,,|Si|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|2morrow.it|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|80 MES 4 PUBLICACIONS S.L.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|a3 Wirtschaftsverlag GmbH|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|ACPG (Premsa Gratuïta i Mitjans Digitals)|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Aegean Airlines|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|AFP|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|AGENCIA COLPISA, S.L.U.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Agencia EFE|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|AIPC|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Air Baltic|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Air France|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Air Mandalay|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|AirTran Airways|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Aktiv Reisen GmbH|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Alta Dirección, S.A.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|American Way|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Asia City Media Group|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|AtresMedia Televisión|,,,,|No|,|Atresmedia Corporación de Medios de Comunicación, S.A.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|AUDIOVISUAL ESPAÑOLA 2000 S.A.|,,,,|No|,|Grupo Planeta|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Ausbanc Consumo|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Baixagastronomia.cat|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Bankok Airlines|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Barcelona Divina S.L.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Bauer Media Group|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Baxter Travel Media|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|BBT Online|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Belgian Fedetarion of Tourist Press|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Berlin Tourismus & Kongress GmbH|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Between Business-Travel|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Brand New Strategy|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|British Airways Media|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Brussels Airlines|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|BTN Group|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business and Tourism Publishing PTY LTD|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business Travel|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business Traveller|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business&Class|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Buyers' Networking Club|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Buying Business Travel|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cairo Editore|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Canal Català - Girona Pla|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Canaria de Avisos S.A. (CANAVISA)|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|CAT Publications|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cataluña Económica|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Caterer and Hotelkeeper|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cebu Pacific Air|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|CECM SL.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cega Multimedia, S.A.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Centre for Alternative Technology Publications|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cepyme|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Chevalier Event Consulting |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Choose Chicago|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|City Life|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Conde Nast Digital|,,,,|No|,|Ediciones Condé Nast, S.A|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Conde Nast Traveller Internationally|,,,,|No|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Congress Today|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Contenidos e Información de Salud S.L.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cooking Books S.L.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Coolturemag|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Corporació Catalana de Mitjans Audiovisuals|,,|CIF: ESQ0891001J|,,|Si|,,,|Via Augusta, 252|,8017,|Barcelona|,|Barcelona|,,,,,,,,,,,,,,,,,,,,,,,,,
|COSASDE|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cosmopolis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|COT media s.r.o.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Creative Head Media Pty Ltd|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Creative Media Group S.L.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cronotempvs|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|CSR Junior |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|CSSL|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Culturagastro.com|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curt Ediciones, SA|,,,,|Si|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|dDona Edicions s.c.p.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Deluxes.net|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Destinations Travel Magazine|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Devinco Europa 2000 S.L.|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Devinis.org|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Diari de Sabadell|,,,,|No|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Diari de Terrassa|,,,,|No|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|DIARIO ABC, S.L.|,,,,|No|,|VOCENTO S.A.,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|DIARIO AS, S.L|,,,,|No|,|PROMOTORA DE INFORMACIONES, S.A. |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|PROMOTORA DE INFORMACIONES, S.A. |,|PRISA|,,,|Si|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Difusión Ediciones, S.L. |,,,,|No|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|DINERO Y SALUD, S.L.|,,,,|No|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
